gender,name,variant,base_name,usage_note,declension,genitive,patr_old_m,patr_old_f,patr_m,patr_f,source
Ж,Азелла,,,Стар. редк.,"-ы, ж. Стар. редк.",Азеллы,,,,,Словарь русских личных имен Петровского
Ж,Аида,,,Заимств.,"-ы, ж. Заимств.",Аиды,,,,,Словарь русских личных имен Петровского
М,Аифал,,,Стар. редк.,"-а, м. Стар. редк.",Аифала,Аифалов,Аифалова,Аифалович,Аифаловна,Словарь русских личных имен Петровского
М,Акакий,,,Стар. редк.,"-я, м. Стар. редк.",Акакия,Акакиев,Акакиева,Акакиевич,Акакиевна,Словарь русских личных имен Петровского
М,Акепсий,,,Стар. редк.,"-я, м. Стар. редк.",Акепсия,Акепсиев,Акепсиева,Акепсиевич,Акепсиевна,Словарь русских личных имен Петровского
М,Акепсим,,,Стар. редк.,"-а, м. Стар. редк.",Акепсима,Акепсимов,Акепсимова,Акепсимович,Акепсимовна,Словарь русских личных имен Петровского
М,Акила,,,Стар. редк.,"-ы, м. Стар. редк.",Акилы,Акилин,Акилина,Акилич,Акилична,Словарь русских личных имен Петровского
Ж,Акилина,Акулина,,,"-ы, ж.; народн. Акулина, -ы; прост. Кулина, -ы.",Акилины,,,,,Словарь русских личных имен Петровского
М,Аким,,Иаким,Разг.,"-а, м. Разг. к Иаким (см.).",Акима,Акимов,Акимова,Иакимович,Иакимовна,(для варианта целевого современного отчества)
М,Аким,,Иаким,Разг.,"-а, м. Разг. к Иаким (см.).",Акима,Акимов,Акимова,Акимович,Акимовна,Словарь русских личных имен Петровского
М,Акиндин,Акудин,,,"-а, м.; прост. Акундин, -а и Анкудин, -а.",Акиндина,Акиндинов,Акиндинова,Акиндинович,Акиндиновна,Словарь русских личных имен Петровского
М,Акинф,,Иакинф,Разг.,"-а, м. Разг. к Иакинф (см.).",Акинфа,Акинфов,Акинфова,Иакинфович,Иакинфовна,(для варианта целевого современного отчества)
М,Акинф,,Иакинф,Разг.,"-а, м. Разг. к Иакинф (см.).",Акинфа,Акинфов,Акинфова,Акинфович,Акинфовна,Словарь русских личных имен Петровского
М,Акинфий,,Иакинф,Разг.,"-я, м. Разг. к Иакинф (см.).",Акинфия,Акинфиев,Акинфиева,Иакинфович,Иакинфовна,(для варианта целевого современного отчества)
М,Акинфий,,Иакинф,Разг.,"-я, м. Разг. к Иакинф (см.).",Акинфия,Акинфиев,Акинфиева,Акинфиевич,Акинфиевна,Словарь русских личных имен Петровского
М,Аксён,Аксен,Авксентий,Разг.,"-а, м. Разг. к Авксентий (см.).",Аксёна,Аксёнов,Аксёнова,Авксентиевич,Авксентиевна,(для варианта целевого современного отчества)
М,Аксён,Аксен,Авксентий,Разг.,"-а, м. Разг. к Авксентий (см.).",Аксена,Аксенов,Аксенова,Авксентиевич,Авксентиевна,(для варианта целевого современного отчества)
М,Аксён,Аксен,Авксентий,Разг.,"-а, м. Разг. к Авксентий (см.).",Аксена,Аксенов,Аксенова,Аксенович,Аксеновна,(для вариантов е/ё в отчествах)
М,Аксён,Аксен,Авксентий,Разг.,"-а, м. Разг. к Авксентий (см.).",Аксёна,Аксёнов,Аксёнова,Аксёнович,Аксёновна,Словарь русских личных имен Петровского
М,Аксентий,,Авксентий,Разг.,"-я, м. Разг. к Авксентий (см.).",Аксентия,Аксентиев,Аксентиева,Авксентиевич,Авксентиевна,(для варианта целевого современного отчества)
М,Аксентий,,,,,,Аксентьев,Аксентьева,Аксентиевич,Аксентиевна,"(для вариантов преобразования ""старого"" отчества в ""новое"")"
М,Аксентий,,Авксентий,Разг.,"-я, м. Разг. к Авксентий (см.).",Аксентия,Аксентиев,Аксентиева,Аксентиевич,Аксентиевна,Словарь русских личных имен Петровского
Ж,Аксинья,,Ксения,Народн.,"-и, ж. Народн. форма имени Ксения  1 (см.).",Аксиньи,,,,,Словарь русских личных имен Петровского
Ж,Акулина,,Акилина,Народн.,"-ы, ж. Народн. форма имени Акилина (см.).",Акулины,,,,,Словарь русских личных имен Петровского
М,Акустий,,,,,,Акустьев,Акустьева,Акустиевич,Акустиевна,"(для вариантов преобразования ""старого"" отчества в ""новое"")"
М,Акустий,,,Стар. редк.,"-я, м. Стар. редк.",Акустия,Акустиев,Акустиева,Акустиевич,Акустиевна,Словарь русских личных имен Петровского
М,Акутион,,,Стар. редк.,"-а, м. Стар. редк.",Акутиона,Акутионов,Акутионова,Акутионович,Акутионовна,Словарь русских личных имен Петровского
М,Албин,,Альбин,Стар. форма имени,"-а, м. Стар. форма имени Альбин (см.).",Албина,Албинов,Албинова,Альбинович,Альбиновна,(для варианта целевого современного отчества)
М,Албин,,Альбин,Стар. форма имени,"-а, м. Стар. форма имени Альбин (см.).",Албина,Албинов,Албинова,Албинович,Албиновна,Словарь русских личных имен Петровского
Ж,Албина,,Альбина,Стар.,"-ы, ж. Стар. форма имени Альбина (см.).",Албины,,,,,Словарь русских личных имен Петровского
М,Алвиан,,Альвиан,Стар. форма имени,"-а, м. Стар. форма имени Альвиан (см.).",Алвиана,Алвианов,Алвианова,Альвианович,Альвиановна,(для варианта целевого современного отчества)
М,Алвиан,,Альвиан,Стар. форма имени,"-а, м. Стар. форма имени Альвиан (см.).",Алвиана,Алвианов,Алвианова,Алвианович,Алвиановна,Словарь русских личных имен Петровского
М,Алевтин,,,,"-а, м.",Алевтина,Алевтинов,Алевтинова,Алевтинович,Алевтиновна,Словарь русских личных имен Петровского
Ж,Алевтина,,,,"-ы, ж.",Алевтины,,,,,Словарь русских личных имен Петровского
