name,np_type,guberniya,uyezd,volost,short_location,full_location,familio_url
Фролово,д.,Костромская,Макарьевский,Завражная,д. Фролово,"д. Фролово, Завражная волость, Макарьевский уезд, Костромская губерния",https://familio.org/settlements/a8af4419-48f3-494b-928a-8d46d416c4a2
Козлово,д.,Костромская,Макарьевский,Завражная,д. Козлово,"д. Козлово, Завражная волость, Макарьевский уезд, Костромская губерния",https://familio.org/settlements/ee314296-cf2a-4138-86c5-960019c9056d
Оксениха,д.,Костромская,Макарьевский,Валовская,д. Оксениха,"д. Оксениха, Валовская волость, Макарьевский уезд, Костромская губерния",https://familio.org/settlements/e180f3f1-3e8e-4563-b276-1ca6d59683c4
Однолетково,д.,Костромская,Макарьевский,Завражная,д. Однолетково,"д. Однолетково, Завражная волость, Макарьевский уезд, Костромская губерния",https://familio.org/settlements/4e20bac8-0636-4529-b1f4-0c749820836c
Курбатиха,д.,Костромская,Макарьевский,Завражная,д. Курбатиха,"д. Курбатиха, Завражная волость, Макарьевский уезд, Костромская губерния",https://familio.org/settlements/55287a1d-8a1c-4465-8ffe-f325e230a0a3
Бородинская,д.,Костромская,Макарьевский,Завражная,д. Бородинская,"д. Бородинская, Завражная волость, Макарьевский уезд, Костромская губерния",https://familio.org/settlements/61e49db1-0b56-45bf-867e-1e83073f3263
Якушиха,д.,Костромская,Юрьевецкий,Мордвиновская,д. Якушиха,"д. Якушиха, Мордвиновская волость, Юрьевецкий уезд, Костромская губерния",https://familio.org/settlements/823defaf-704b-49fa-9202-7fed0674c1f3
Софрониха,д.,Костромская,Юрьевецкий,Мордвиновская,д. Софрониха,"д. Софрониха, Мордвиновская волость, Юрьевецкий уезд, Костромская губерния",https://familio.org/settlements/adb18c3c-ec7c-42d7-aea7-97aaa7a03dce
Сельцо-Тюримово,д.,Костромская,Юрьевецкий,Мордвиновская,д. Сельцо-Тюримово,"д. Сельцо-Тюримово, Мордвиновская волость, Юрьевецкий уезд, Костромская губерния",https://familio.org/settlements/8e57b49c-3560-4246-80e7-fc5aca0b5669
Лагодки Малые,д.,Костромская,Макарьевский,Чернышевская,д. Лагодки Малые,"д. Лагодки Малые, Чернышевская волость, Макарьевский уезд, Костромская губерния",https://familio.org/settlements/2ca28306-687a-4f2c-8b41-3b10146b8bdd
Хохлянки,д.,Костромская,Макарьевский,Чернышевская,д. Хохлянки,"д. Хохлянки, Чернышевская волость, Макарьевский уезд, Костромская губерния",https://familio.org/settlements/e3e5fe79-7c6d-4fe3-ae3f-a1d3699f6d4c
Починок,д.,Костромская,Макарьевский,Чернышевская,д. Починок,"д. Починок, Чернышевская волость, Макарьевский уезд, Костромская губерния",https://familio.org/settlements/7f8276ce-9bde-4e82-98ee-36624d0d3b4c
Григино,д.,Костромская,Макарьевский,Завражная,д. Григино,"д. Григино, Завражная волость, Макарьевский уезд, Костромская губерния",https://familio.org/settlements/63aae389-9023-4186-9a9f-664418370bf3
Лагодки,д.,Костромская,Макарьевский,Чернышевская,д. Лагодки,"д. Лагодки, Чернышевская волость, Макарьевский уезд, Костромская губерния",https://familio.org/settlements/2ca28306-687a-4f2c-8b41-3b10146b8bdd
Мужичковская,д.,Костромская,Макарьевский,Завражная,д. Мужичковская,"д. Мужичковская, Завражная волость, Макарьевский уезд, Костромская губерния",https://familio.org/settlements/6d041c6d-de91-4004-b163-c74ed26b73c6
Дубнево,д.,Костромская,Юрьевецкий,Махловская,д. Дубнево,"д. Дубнево, Махловская волость, Юрьевецкий уезд, Костромская губерния",https://familio.org/settlements/a8e8aa79-c472-4ef8-a8d4-04fad228ce66
Облазино,д.,Костромская,Юрьевецкий,Махловская,д. Облазино,"д. Облазино, Махловская волость, Юрьевецкий уезд, Костромская губерния",https://familio.org/settlements/9d61e5ad-52b7-4e34-a250-ba51c2d22ce0
Селянцево,д.,Костромская,Макарьевский,Валовская,д. Селянцево,"д. Селянцево, Валовская волость, Макарьевский уезд, Костромская губерния",https://familio.org/settlements/1e481062-77be-4efc-ad1b-f8bc52347295
Цаплино,д.,Костромская,Макарьевский,Завражная,д. Цаплино,"д. Цаплино, Завражная волость, Макарьевский уезд, Костромская губерния",https://familio.org/settlements/7233060e-209f-4f9d-8e49-4cb320c8c012
Баево,д.,Костромская,Макарьевский,Каргинская,д. Баево,"д. Баево, Каргинская волость, Макарьевский уезд, Костромская губерния",https://familio.org/settlements/581dfbf3-eb3d-4c43-bcff-2f36e66cf7f4
Содомово,д.,Костромская,Макарьевский,Валовская,д. Содомово,"д. Содомово, Валовская волость, Макарьевский уезд, Костромская губерния",https://familio.org/settlements/098e16a6-f240-4a4b-9fa3-fcd0528f730f
Настасьино,д.,Костромская,Макарьевский,Валовская,д. Настасьино,"д. Настасьино, Валовская волость, Макарьевский уезд, Костромская губерния",https://familio.org/settlements/40102a6b-72c2-40af-b603-023d4ab39a01
Ильинское,с.,Костромская,Кинешемский,Ильинская,с. Ильинское,"с. Ильинское, Ильинская волость, Кинешемский уезд, Костромская губерния",https://familio.org/settlements/19d39ea6-e3fc-4f39-8d4e-79f66b169bbf
Чернышево,с.,Костромская,Макарьевский,Чернышевская,с. Чернышево,"с. Чернышево, Чернышевская волость, Макарьевский уезд, Костромская губерния",https://familio.org/settlements/53a98149-a054-4ae1-ab43-e997a5927056
Нежитино,с.,Костромская,Макарьевский,Завражная,с. Нежитино,"с. Нежитино, Завражная волость, Макарьевский уезд, Костромская губерния",https://familio.org/settlements/1f33d281-66a9-49dd-8e69-d8f459c1eeb1
Варвариха,д.,Костромская,Юрьевецкий,Обжерихинская,д. Варвариха,"д. Варвариха, Обжерихинская волость, Юрьевецкий уезд, Костромская губерния",https://familio.org/settlements/20a3d365-a61b-4c8f-8afe-99c66cf9eeaa
Мыт,с.,Владимирская,Гороховецкий,Маытская,с. Мыт,"с. Мыт, Маытская волость, Гороховецкий уезд, Владимирская губерния",https://familio.org/settlements/006410ba-8e03-4104-baad-954bf0c8e30d
Сезеньково,д.,Костромская,Юрьевецкий,Обжерихинская,д. Сезеньково,"д. Сезеньково, Обжерихинская волость, Юрьевецкий уезд, Костромская губерния",https://familio.org/settlements/560a9e28-4e43-4506-8235-cbb337088dc1
Твердово,с.,Костромская,Кинешемский,Ивашевская,с. Твердово,"с. Твердово, Ивашевская волость, Кинешемский уезд, Костромская губерния",https://familio.org/settlements/95f9bca6-d08a-41bf-ab91-3969e0c189d4
Клоны,с.,Костромская,Юрьевецкий,Якушевская,с. Клоны,"с. Клоны, Якушевская волость, Юрьевецкий уезд, Костромская губерния",https://familio.org/settlements/259e29aa-dd0c-4757-bc6b-97ff4031575c?uuid=259e29aa-dd0c-4757-bc6b-97ff4031575c
Савино,д.,Костромская,Макарьевский,Завражная,д. Савино,"д. Савино, Завражная волость, Макарьевский уезд, Костромская губерния",https://familio.org/settlements/0ccfd8c1-b843-4e48-b8f5-d61b43e6ef3e
Андреевка,д.,Костромская,Макарьевский,Завражная,д. Андреевка,"д. Андреевка, Завражная волость, Макарьевский уезд, Костромская губерния",https://familio.org/settlements/b578f575-7e65-486e-a316-45535c63a507
